yymmdd,purchase,redeem
20130824,54574111,14426635
20130825,17586501,12426430
20130826,52044963,16794905
20130827,49273164,23573930
20130820,51304276,27002747
20130821,45762636,18370111
20130822,26545809,18620771
20130823,33855284,16009856
20130828,57249467,68685109
20130829,31008331,29996101
20130718,27609385,8142301
20130719,126301368,3413665
20130712,23202473,4829301
20130713,19218553,2218978
20130710,42210154,18319144
20130711,29843023,2158990
20130716,26323198,32164805
20130717,28834269,26631817
20130714,101209093,3375744
20130715,106271409,25375610
20140827,227515169,345649378
20140826,241046273,271225580
20140825,283116043,264492485
20140824,134164401,209908787
20140823,154613502,196780196
20140822,182566127,232911054
20140821,234392568,185570807
20140820,209205785,244720592
20140829,214114844,359195182
20140828,240376956,327274182
20130910,81305151,61880908
20130911,93077458,45646088
20130912,50035862,16797004
20140217,675485671,314699059
20130914,34379286,22263774
20130915,38956366,17385227
20130916,104399397,14276435
20130917,75209349,21022169
20130918,41969227,17777697
20130919,40861546,11095259
20140218,422741202,246229299
20140219,642931201,247608257
20140528,268930576,381785376
20140529,339227554,402129748
20140526,266803815,415178334
20140527,249676185,369000169
20140524,141641047,233305829
20140525,169866612,147245163
20140522,273390048,295631432
20140523,200156003,223981714
20140520,286615315,197106347
20140521,241015636,292385050
20140328,223771699,372161003
20140329,194925803,138171183
20140625,271335080,319358448
20140320,302584612,304013906
20140321,274386390,280963645
20140322,145506447,200897470
20140323,167604758,160853972
20140324,330726069,318658552
20140325,337425152,362444778
20140326,426653122,257938486
20140327,266160879,326543305
20140624,298405851,342707532
20140131,90124260,29125625
20140130,242566772,99811984
20131104,134705147,108318485
20140628,181197896,199382031
20131106,177181307,131796343
20131107,219191421,149424128
20131101,90052647,46678116
20131102,60697754,21879168
20131103,109705314,33749172
20140621,186364721,169065467
20140620,226974141,333222993
20140623,304220528,444554691
20140622,143403001,232029485
20131108,249304249,99248361
20131109,123652022,59247170
20140627,186455771,307276813
20140626,223576983,498151313
20130913,48041116,10624127
20131206,198597129,92725974
20140210,632298767,418611061
20140211,670470102,315239225
20140401,424784984,280407782
20140403,301858010,259172151
20140402,418550858,234601543
20140405,171320519,130175071
20140404,235574221,171218775
20140407,237413785,151211943
20140406,132973045,86148848
20140409,465391689,301919971
20140408,360613734,241500693
20140213,461212821,301079648
20140225,713994252,349836501
20140719,153934641,122809272
20140718,191967546,162854740
20130920,33601331,15710134
20140715,299355385,369452520
20140714,246080213,272164963
20140717,254493213,204597291
20140716,277080654,278415089
20140711,233743113,266630674
20140710,277110154,322207184
20140713,142610813,218339981
20140712,149584303,173485119
20140226,486006154,476270827
20131209,214664521,152407205
20131208,127532403,53648650
20131207,116093484,53512763
20130925,107206248,54563516
20131205,152989262,75925859
20131204,253181565,91187713
20131203,176533224,105284341
20131202,207768089,107045755
20131201,179080325,95291329
20140220,527167832,276717727
20130927,51076556,21422361
20130926,49684160,32334604
20140202,86649833,35016210
20131027,58360160,25646394
20131026,89152724,27504517
20131025,72866681,62677596
20131024,78253878,69717843
20131023,91267273,36092748
20131022,79936840,29426313
20131021,92303765,86625521
20131020,78146352,27240757
20140104,155828144,71718874
20140105,321343539,106824899
20140106,371683914,139233405
20140107,339901798,110203644
20140101,335862570,77073258
20131029,147891369,52687221
20131028,175987478,67747746
20140201,101183694,51483587
20140724,257332381,284291000
20140725,203397102,233005216
20140726,198457820,152163398
20140727,162389176,281734449
20140720,174324225,157986108
20140721,241509367,325273684
20140722,222479621,307691465
20130830,29172174,17631447
20140728,253136439,393656353
20140729,325692942,185509598
20140818,280533543,385940924
20140819,236052637,247704409
20130709,18623071,11374271
20130708,98730828,15888356
20130705,16129924,2551703
20130704,32111643,12845583
20130707,15516443,4363341
20130706,16179865,2289341
20130701,22533121,1238748
20140817,161198309,194379633
20140814,248894735,252702796
20130702,29624840,3215499
20140610,389636668,282137606
20140611,311384505,277431859
20130901,60276302,18155299
20140613,256177180,284281673
20140614,148539864,289810759
20130906,38650095,22744929
20140616,336917078,383963086
20140617,324524255,331341050
20140618,266480068,358972950
20140619,282577514,322086055
20130909,55565482,22529834
20130908,24810658,19393890
20140209,336607101,143211947
20140208,315242286,134579390
20140531,128370165,153225467
20140530,248860973,276489019
20140227,537812517,660825256
20140430,232262878,274590040
20140331,377931423,497687416
20140330,161565264,256893459
20140708,237821679,363952447
20140312,317050657,298538230
20130819,48319110,27409347
20140314,319556555,270497983
20140813,262139305,308734578
20140319,295342178,414884867
20140703,205360896,257959811
20140830,183547267,201759798
20140831,205369438,159162656
20131117,98492364,35055232
20131116,85621804,38584607
20131115,116112820,44380574
20131114,148622821,42611824
20131113,158376990,54302781
20131112,173549641,74456493
20131111,143416540,246064757
20131110,158993537,123840519
20130811,42840984,5443051
20130814,39066415,23721318
20131119,165943591,60013853
20131118,145222355,65817333
20130813,45856548,29325894
20140705,162447667,168602028
20130730,35410500,16427906
20130731,122942064,13151366
20130816,54635823,58314359
20140207,621409043,356235057
20140508,353562072,267751934
20140509,265472393,158473997
20131230,286491118,103985798
20131231,326974771,113254499
20140501,197451051,113440731
20140502,129869154,103269793
20140503,229609301,174430184
20140504,297192156,282088123
20140505,425987710,324920452
20140506,323536443,295986647
20140507,406395515,221742769
20140206,225661839,89786438
20130810,44403831,41942573
20140205,162119647,70100225
20140519,347718384,422101826
20131226,187935531,146764679
20140203,85303404,92071628
20130930,49151321,34100714
20131229,173772752,74663175
20140516,254644568,200510199
20131018,80573607,29644051
20131019,47140830,12115532
20131012,95312628,36724035
20131013,40381173,46888025
20131010,93642539,36132959
20131011,68845671,31646212
20131016,156977224,40682099
20131017,73354575,45517673
20131014,158158044,41243215
20131015,108776071,58286788
20140119,301523785,117846810
20140118,184240864,107190052
20140117,262046075,154263565
20140116,490563564,136931314
20140115,233318844,114905112
20140114,337203610,194979118
20140113,292143045,164389088
20140112,192128885,80041533
20140111,178289447,116820618
20140110,296993855,119859597
20140731,228056623,269628521
20140730,239088792,278053927
20140809,146751994,143619719
20140808,228097887,204391027
20140805,311680953,278473251
20140804,254890053,248676024
20140807,256485155,283816788
20140806,269143684,247713799
20140801,378242546,282593743
20140803,154077981,121165959
20140802,152120792,162090956
20140603,285424724,372184784
20140602,176770324,157408750
20140601,143942297,111076626
20140607,155141863,206165504
20140606,255880246,217295228
20140605,309000179,302841375
20140604,275697613,327061084
20140609,442360742,241085611
20140608,181144835,180076832
20140429,303772841,340918574
20140428,285236269,413667536
20140423,262963640,289670313
20140422,268322472,329994810
20140421,381369739,416482875
20140420,161634908,175154181
20140427,167611543,241292798
20140426,184640194,110439209
20140425,320373050,231507912
20140424,203798291,348965167
20140108,271765172,115536959
20140109,345036273,121195295
20130808,44702970,10561475
20130809,46197838,15546146
20140308,215355021,157996615
20140309,296559440,169872578
20140306,495755683,366030834
20130803,31370682,24942267
20140304,521644375,278261421
20140305,497668868,275381156
20140302,275779265,163786963
20140303,523895828,360144530
20130804,45251520,16648439
20130805,51533056,123111835
20140102,301179400,124541441
20140103,291336871,115361983
20140702,301263008,364268994
20131128,152510165,107063218
20131129,144836611,96242909
20131122,139140591,66623532
20131123,85234876,88449004
20131120,149019647,83122720
20131121,236672974,75803920
20131126,181397027,79919049
20131127,152083973,178457547
20131124,97522283,60355364
20131125,188023955,91230946
20130831,27720016,12893797
20140723,281820273,289004852
20130802,73104389,20410883
20140307,492623841,274009352
20130727,31021548,5723416
20130726,25835746,11721842
20130725,123922858,62652056
20130724,29405789,9348626
20130723,25115410,8675669
20130722,37844074,9073308
20130721,81375803,7068179
20130720,20662791,4557888
20130806,27348705,23304219
20130729,59130418,14375762
20130728,26260152,32887218
20140301,215356482,148429245
20131225,153343940,212312830
20131224,182690432,133342747
20131227,173898861,252417542
20140518,161097108,145479624
20131221,91445173,59536553
20131220,131176893,148188232
20131223,190330016,179886396
20131222,140558599,56877147
20140513,362372059,250343867
20140512,285228437,338432936
20140511,208480221,142970887
20140510,227672886,258495276
20140517,116291491,179594252
20131228,199852196,101848650
20140515,303286621,435249186
20140514,290208996,297491596
20140812,260705801,254258310
20130801,61905830,6159040
20140810,164174384,223625820
20140811,284695009,385895199
20140214,522331058,233371566
20140816,158553438,158797400
20130703,22525940,4385918
20140815,268968079,221094668
20140215,305214647,110240413
20130807,24953363,13675014
20140216,361250311,139432186
20131009,67339813,26611167
20131008,115047417,60758100
20131005,21245166,13019900
20131004,22868589,12046540
20131007,56730939,82606688
20131006,40318288,14733990
20131001,22858568,8869210
20131003,7251212,14700007
20131002,15700008,10393202
20140122,462593233,183458941
20130903,58345539,20886668
20140120,312028349,259973410
20140121,337095722,176724296
20140126,446945594,214348269
20140127,715461017,260269121
20140124,450511317,188651670
20130902,42168974,27437595
20140128,870587680,256692351
20140129,1183825013,274603869
20140612,267188252,256164551
20140204,92866528,61618152
20130907,49801798,17830433
20140615,201999390,217992393
20140629,171945311,238934317
20130905,42500904,17937329
20131105,170112074,128585154
20130904,55301172,23688242
20140212,551106906,425221290
20130929,76038490,77461238
20130928,46758852,37660670
20140228,420504763,282310184
20130921,61641978,23219290
20140224,595170010,326481227
20130923,37338427,26564396
20130922,59188234,75805107
20140221,394746918,206572952
20130924,56008378,26722196
20140223,308396249,237023147
20140222,235659822,129881807
20140630,331665096,425796747
20140418,297030419,212558260
20140419,131860659,161932743
20140416,344518277,258644563
20140417,268273324,259158950
20140414,359340606,315904149
20140415,337278983,333481946
20140412,198643801,177456118
20140413,202424482,199455537
20140410,325897532,292651452
20140411,275556141,263431235
20140311,488913889,267437055
20140310,533357693,296534165
20140313,438410772,255918695
20140709,254180106,308883169
20140315,201137958,242196362
20130818,45069353,35585574
20140317,411958428,420064650
20140316,219592025,188184766
20130815,29238678,21981558
20140318,302616910,341931886
20130817,15688245,51457176
20140701,379361211,358485374
20140706,163090528,250453540
20140707,330300280,332660498
20140704,221546458,253548445
20130812,33901418,43533052
20131218,190985922,91560802
20131219,144026114,112370684
20131214,134839018,73250223
20131215,119396143,59674345
20131216,188230089,86266515
20131217,212780998,109073593
20131210,281121012,78077384
20131211,316266609,126368276
20131212,172183635,117455386
20131213,146722615,83443683
20140123,294368520,332744686
20131130,94687796,76461088
20131030,123495252,63435426
20131031,105655220,93841828
20140125,349192126,131010888
